QuestionNum,Question,Answer1,Answer2,Answer3,Answer4,Correctanswer,QuizID,FinalQ,Random word,
335,quoque ,"this, that, he, she, it, them","also, too",again,enter,b,LLC,n,"also, too",
336,quot? ,"the other, another, one (of two), the second (of two)",how many?,what sort of?,"in, on",b,LLC,n,how many?,
337,rapio ,"big, large, great","savage, cruel","seize, grab",- back,c,LLC,n,"seize, grab",
338,re- ,garden,persuade,sailor,- back,d,LLC,n,- back,
339,reddo ,"give back, restore",destroy,"himself, herself, itself, themselves",middle,a,LLC,n,"give back, restore",
340,redeo ,across,body,"wait for, expect","go back, come back, return",d,LLC,n,"go back, come back, return",
341,refero ,"nearest, next to","bring/carry back, report, tell","hear, listen to","take away, carry off, steal",b,LLC,n,"bring/carry back, report, tell",
342,regina ,(introduces question),"spirit, soul, mind",queen,"think, consider",c,LLC,n,queen,
343,regnum,kingdom,"lead, take","through, along",crime,a,LLC,n,kingdom,
344,rego ,first,rule,the same,show,b,LLC,n,rule,
345,regredior ,when?,"go back, return",river,name,b,LLC,n,"go back, return",
346,relinquo ,come,head,"leave, leave behind","overcome, overpower",c,LLC,n,"leave, leave behind",
347,res ,children,camp,show,"thing, matter, event",d,LLC,n,"thing, matter, event",
348,resisto ,resist,"after, behind","family, tribe, race, people",camp,a,LLC,n,resist,
349,respondeo ,so many,"than, how ... ? how ... !",kill,reply,d,LLC,n,reply,
350,rex ,"weep, cry",king,"understand, realise",middle,b,LLC,n,king,
351,rideo ,"give back, restore","at last, finally","laugh, smile",at the same time,c,LLC,n,"laugh, smile",
352,rogo ,"ask, ask for",wound,"quick, fast",then,a,LLC,n,"ask, ask for",
353,Roma ,afterwards,Rome,"bring/carry back, report, tell","put, place, set up",b,LLC,n,Rome,
354,Romanus ,beg,Roman,"also, too",build,b,LLC,n,Roman,
355,sacer ,"put, place, set up",whether,sacred,there,c,LLC,n,sacred,
356,saepe ,"hand, group of people",attack,resist,often,d,LLC,n,often,
357,saevus ,"savage, cruel",never,journey,"much, many",a,LLC,n,"savage, cruel",
358,saluto ,"wear (clothes), wage (war)",legion,shout,greet,d,LLC,n,greet,
359,sanguis ,"not want, refuse",blood,"we, us","die, perish",b,LLC,n,blood,
360,scelestus ,new,lie,wicked,"leave, leave behind",c,LLC,n,wicked,
361,scelus ,crime,"get up, stand up, rise","catch sight of, notice","gift, present",a,LLC,n,crime,
362,scio ,offer,know,so,"think, consider",b,LLC,n,know,
363,scribo ,our,write,"he/she says, he/she said","other, another, else",b,LLC,n,write,
364,se ,"the rest, the others","manner, way, kind","himself, herself, itself, themselves","chief, emperor",c,LLC,n,"himself, herself, itself, themselves",
365,sed ,hold,"raise, lift up, hold up",guard,but,d,LLC,n,but,
366,sedeo ,sit,"run away, flee","fierce, ferocious",temple,a,LLC,n,sit,
367,semper ,"savage, cruel","lead, take",punish,always,d,LLC,n,always,
368,senator ,"wait for, expect",senator,hope,"hope, expect",b,LLC,n,senator,
369,senex ,woman,"very little, least, no",old man,"he/she says, he/she said",c,LLC,n,old man,
370,sentio ,"feel, notice",decide,die,good,a,LLC,n,"feel, notice",
371,sequor ,"want, wish, be willing",follow,anger,love,b,LLC,n,follow,
372,servo ,wine,"save, protect, keep","approach, come near to",first,b,LLC,n,"save, protect, keep",
373,servus ,attack,eat,slave,follow,c,LLC,n,slave,
374,si ,"as, when","hand, group of people",turn,if,d,LLC,n,if,
375,sic ,"thus, in this way","make, do",temple,as soon as,a,LLC,n,"thus, in this way",
376,silva ,some ... others,sword,suddenly,wood,d,LLC,n,wood,
377,simul ,foot,at the same time,so,"be absent, be away, be distant from",b,LLC,n,at the same time,
378,"simulac, simulatque ",you (plural),go,as soon as,"such, of such a kind",c,LLC,n,as soon as,
379,sine ,without,"violently, loudly",before,place,a,LLC,n,without,
380,soleo,the same,be accustomed,"violently, loudly","search for, look for, ask",b,LLC,n,be accustomed,
381,solus ,"have, hold","alone, lonely, only, on one's own","dinner, meal","nearest, next to",b,LLC,n,"alone, lonely, only, on one's own",
382,specto ,"wait for, expect",old man,"look at, watch",how?,c,LLC,n,"look at, watch",
383,spero ,when?,promise,reply,"hope, expect",d,LLC,n,"hope, expect",
384,spes ,hope,"faithful, loyal",punish,"the other, another, one (of two), the second (of two)",a,LLC,n,hope,
385,statim ,strong,"few, a few",brother,"at once, immediately",d,LLC,n,"at once, immediately",
386,sto ,"big, large, great",stand,"art, skill","comrade, companion",b,LLC,n,stand,
387,stultus ,wife,today,"stupid, foolish",teach,c,LLC,n,"stupid, foolish",
388,sub ,"under, beneath","take, catch, capture, make (a plan)",life,set free,a,LLC,n,"under, beneath",
389,subito ,"be here, be present",suddenly,kill,how?,b,LLC,n,suddenly,
390,sum ,"light, daylight",be,"stupid, foolish","quick, fast",b,LLC,n,be,
391,summus ,near,enter,"highest, greatest, top (of)","lead, take",c,LLC,n,"highest, greatest, top (of)",
392,supero ,sacred,"say, speak, tell","thus, in this way","overcome, overpower",d,LLC,n,"overcome, overpower",
393,surgo ,"get up, stand up, rise","care, worry","and, even",,a,LLC,n,"get up, stand up, rise",
394,suus ,- back,"go back, return","therefore, and so","his, her, its, their (own)",d,LLC,n,"his, her, its, their (own)",
395,taberna ,"and, even","shop, inn","the rest, the others","depart, leave",b,LLC,n,"shop, inn",
396,taceo ,young man,whether,"be silent, be quiet",frighten,c,LLC,n,"be silent, be quiet",
397,talis ,"such, of such a kind","read, choose",teach,brother,a,LLC,n,"such, of such a kind",
398,tam ,"after, behind",so,"joy, pleasure","in, on",b,LLC,n,so,
399,tamen ,my,however,buy,girl,b,LLC,n,however,
400,tandem ,"almost, nearly",money,"at last, finally","seize, grab",c,LLC,n,"at last, finally",
401,tantus ,write,"hand, group of people","lead, take","so great, such a great",d,LLC,n,"so great, such a great",
402,tempestas,storm,"high, deep",write,first,a,LLC,n,storm,
403,templum ,"unless, except",(introduces question),drive,temple,d,LLC,n,temple,
404,tempus ,set out,time,children,difficult,b,LLC,n,time,
405,teneo ,however,"and not, nor, neither",hold,angry,c,LLC,n,hold,
406,terra ,"ground, land, country",daughter,surely ... ?,"stupid, foolish",a,LLC,n,"ground, land, country",
407,terreo ,boy,frighten,"I, me","island, block of flats",b,LLC,n,frighten,
408,timeo ,"much, many","fear, be afraid",drink,greet,b,LLC,n,"fear, be afraid",
409,tollo,kingdom,rule,"raise, lift up, hold up","his, her, its, their (own)",c,LLC,n,"raise, lift up, hold up",
410,tot ,find,"seem, appear",terrified,so many,d,LLC,n,so many,
411,totus ,whole,"take away, carry off, steal","miserable, wretched, sad",boy,a,LLC,n,whole,
412,trado ,"no one, nobody","speak, talk","from, out of, out","hand over, hand down",d,LLC,n,"hand over, hand down",
413,traho ,brave,drag,"stupid, foolish",without,b,LLC,n,drag,
414,trans ,"willingly, gladly",when?,across,"crush, overwhelm",c,LLC,n,across,
415,tristis ,sad,"now, already","violently, loudly","after, behind",a,LLC,n,sad,
416,tu ,attack,you (singular),how many?,"messenger, message, news",b,LLC,n,you (singular),
417,tum ,although,then,"savage, cruel","we, us",b,LLC,n,then,
418,turba ,wine,"come together, gather, meet",crowd,"in front of, for, in return for",c,LLC,n,crowd,
419,tuus ,at first,victory,"very little, least, no","your (singular), yours",d,LLC,n,"your (singular), yours",
420,ubi,"where? where, when","seem, appear",afterwards,"almost, nearly",a,LLC,n,"where? where, when",
421,umquam ,crime,"thus, in this way",again,ever,d,LLC,n,ever,
422,unde? ,greet,from where?,huge,"his, her, its, their (own)",b,LLC,n,from where?,
423,urbs ,"get to know, find out",set out,city,horse,c,LLC,n,city,
424,ut ,"as, when",look!,"light, daylight","be pleased, rejoice",a,LLC,n,"as, when",
425,ut ,"and so, therefore","that, so that, in order that","in front of, for, in return for",at the same time,b,LLC,n,"that, so that, in order that",
426,uxor ,battle,wife,be,turn,b,LLC,n,wife,
427,validus ,"in, on",sell,strong,"his, her, its, their (own)",c,LLC,n,strong,
428,vehementer ,wife,"conquer, win, be victorious",money,"violently, loudly",d,LLC,n,"violently, loudly",
429,vendo ,sell,small,"chief, emperor","ask, ask for",a,LLC,n,sell,
430,venio ,soon,"nearest, next to","all, every",come,d,LLC,n,come,
431,verbum ,arrive,word,escape,"freedman, ex-slave",b,LLC,n,word,
432,verto ,wife,"crush, overwhelm",turn,destroy,c,LLC,n,turn,
433,vester ,"your (plural), yours","this, that, he, she, it, them",before,"lead, take",a,LLC,n,"your (plural), yours",
434,via ,in vain,"street, road, way","go back, come back, return",when?,b,LLC,n,"street, road, way",
435,victoria ,"himself, herself, itself, themselves",victory,"man, human being",in vain,b,LLC,n,victory,
436,video ,"care, worry",dare,see,brave,c,LLC,n,see,
437,videor ,"be silent, be quiet",sit,defend,"seem, appear",d,LLC,n,"seem, appear",
438,villa ,"house, country villa",guard,go,"gift, present",a,LLC,n,"house, country villa",
439,vinco ,"evil, bad",journey,tomorrow,"conquer, win, be victorious",d,LLC,n,"conquer, win, be victorious",
440,vinum ,go,wine,husband,son,b,LLC,n,wine,
441,vir ,drink,"short, brief",man,"take, catch, capture, make (a plan)",c,LLC,n,man,
442,virtus ,"courage, virtue",find,wine,on the next day,a,LLC,n,"courage, virtue",
443,vita ,Rome,life,"after, when",consul,b,LLC,n,life,
444,vivo ,"lead, take","live, be alive","advance, proceed",praise,b,LLC,n,"live, be alive",
445,voco ,"fortunate, happy",and,call,walk,c,LLC,n,call,
446,volo ,now,but,reply,"want, wish, be willing",d,LLC,n,"want, wish, be willing",
447,vos ,you (plural),"and not, nor, neither",- back,mother,a,LLC,n,you (plural),
448,vox ,guard,"than, how ... ? how ... !","encourage, urge","voice, shout",d,LLC,n,"voice, shout",
449,vulnero,from where?,"wound, injure","feel, notice","ask, ask for",b,LLC,n,"wound, injure",
450,vulnus ,you (singular),"the other, another, one (of two), the second (of two)",wound,"ask, ask for",c,LLC,y,wound,
